PersonX abandons ___ altogether	oEffect	none
PersonX abandons ___ altogether	oEffect	none
PersonX abandons ___ altogether	oReact	dejected
PersonX abandons ___ altogether	oWant	none
PersonX abandons ___ altogether	oWant	none
PersonX abandons ___ altogether	oWant	to find a new job for him
PersonX abandons ___ altogether	oWant	to support him
PersonX abandons ___ altogether	xAttr	impatient
PersonX abandons ___ altogether	xAttr	decisive
PersonX abandons ___ altogether	xAttr	undependable
PersonX abandons ___ altogether	xAttr	fickle
PersonX abandons ___ altogether	xAttr	destructed
PersonX abandons ___ altogether	xAttr	sad
PersonX abandons ___ altogether	xEffect	gets a reputation as a quitter
PersonX abandons ___ altogether	xEffect	hangs head in shame
PersonX abandons ___ altogether	xEffect	Begins the process of change
PersonX abandons ___ altogether	xEffect	Turns over a new leaf
PersonX abandons ___ altogether	xIntent	put a stop
PersonX abandons ___ altogether	xNeed	Plows the field.
PersonX abandons ___ altogether	xNeed	Gets exhausted from it.
PersonX abandons ___ altogether	xNeed	none
PersonX abandons ___ altogether	xNeed	to give a resignation letter
PersonX abandons ___ altogether	xNeed	to get permission from his parents
PersonX abandons ___ altogether	xReact	authoritative
PersonX abandons ___ altogether	xWant	Sell his land.
PersonX abandons ___ altogether	xWant	Was just city.
PersonX abandons ___ altogether	xWant	to start something new
PersonX abandons ___ altogether	xWant	to start fresh
PersonX abandons ___ altogether	xWant	to find a new job
PersonX abandons ___ altogether	xWant	to search for a new job
PersonX abandons the ___ altogether	oEffect	none
PersonX abandons the ___ altogether	oEffect	none
PersonX abandons the ___ altogether	oEffect	none
PersonX abandons the ___ altogether	oReact	defeat
PersonX abandons the ___ altogether	oWant	none
PersonX abandons the ___ altogether	oWant	to do something else as well
PersonX abandons the ___ altogether	oWant	they find something better
PersonX abandons the ___ altogether	oWant	none
PersonX abandons the ___ altogether	xAttr	flaky
PersonX abandons the ___ altogether	xAttr	irresponsible
PersonX abandons the ___ altogether	xAttr	desperate
PersonX abandons the ___ altogether	xAttr	convinced
PersonX abandons the ___ altogether	xAttr	decisive
PersonX abandons the ___ altogether	xAttr	frustrated
PersonX abandons the ___ altogether	xEffect	eats all the cakes
PersonX abandons the ___ altogether	xEffect	abandons his diets too
PersonX abandons the ___ altogether	xEffect	repercussions for leaving all responsibilities
PersonX abandons the ___ altogether	xEffect	they go home
PersonX abandons the ___ altogether	xEffect	they try to form a different plan
PersonX abandons the ___ altogether	xEffect	they search for a different alternative
PersonX abandons the ___ altogether	xIntent	to appear not interested
PersonX abandons the ___ altogether	xNeed	none
PersonX abandons the ___ altogether	xNeed	to get frustrated
PersonX abandons the ___ altogether	xNeed	to determine it's not worth it
PersonX abandons the ___ altogether	xNeed	none
PersonX abandons the ___ altogether	xReact	pressurized
PersonX abandons the ___ altogether	xWant	to go out
PersonX abandons the ___ altogether	xWant	to find other place
PersonX abandons the ___ altogether	xWant	find something else to do
PersonX abandons the ___ altogether	xWant	to do the project the best he can
PersonX abandons the ___ altogether	xWant	sigh in relief
PersonX abandons the ___ altogether	xWant	find another project
PersonX abolishes ___ altogether	oEffect	none
PersonX abolishes ___ altogether	oEffect	none